internalId	Name	Mentions
bacteria-3783	bradyrhizobium japonicum	2
bacteria-5635	brassica rapa	2
bacteria-1778	brevundimonas	2
bacteria-1435	brochothrix	2
bacteria-5124	cajanus	2
bacteria-10981	cajanus cajan	2
bacteria-6513	calendula	2
bacteria-8930	calendula officinalis	2
bacteria-2841	campylobacter showae	2
bacteria-1336	capsicum annuum	2
bacteria-962	cauliflower	2
bacteria-3646	caulobacter	2
bacteria-8356	caulobacteraceae	2
bacteria-8441	cedecea davisae	2
bacteria-7260	centipeda	2
bacteria-12105	christensenella minuta	2
bacteria-5677	cloacibacterium	2
bacteria-3742	clostridium beijerinckii	2
bacteria-7291	clostridium tertium	2
bacteria-1686	coprobacter	2
bacteria-1353	coprococcus eutactus	2
bacteria-12370	corallococcus	2
bacteria-6944	corynebacterium bovis	2
bacteria-4821	corynebacterium minutissimum	2
bacteria-12425	corynebacterium striatum	2
bacteria-11097	cupriavidus pauculus	2
bacteria-8805	delftia tsuruhatensis	2
bacteria-954	dermabacter	2
bacteria-10128	dermabacter hominis	2
bacteria-3413	dialister pneumosintes	2
bacteria-5004	dietzia cinnamea	2
bacteria-5082	dysgonomonas	2
bacteria-4525	echinacea	2
bacteria-4871	echinacea purpurea	2
bacteria-879	ehrlichia chaffeensis	2
bacteria-12082	eisenbergiella	2
bacteria-2199	elizabethkingia meningoseptica	2
bacteria-8865	elusimicrobia	2
bacteria-9296	enterococcus durans	2
bacteria-0	enterorhabdus	2
bacteria-4792	erwinia amylovora	2
bacteria-11377	erysipelothrix	2
bacteria-9633	fibrobacteres	2
bacteria-3285	flavobacteriaceae	2
bacteria-895	fusobacterium hwasookii	2
bacteria-10958	fusobacterium mortiferum	2
bacteria-7288	gemella sanguinis	2
bacteria-1012	gemmiger formicilis	2
bacteria-10524	gluconacetobacter	2
bacteria-5687	gluconobacter	2
bacteria-2021	glutamicibacter	2
bacteria-8030	helianthus	2
bacteria-1064	helicobacter pullorum	2
bacteria-12506	herbaspirillum frisingense	2
bacteria-3798	holdemanella	2
bacteria-2324	hungatella	2
bacteria-3205	intestinibacter	2
bacteria-8720	jujube	2
bacteria-12554	kluyvera	2
bacteria-10184	labrenzia	2
bacteria-9043	lachnospiraceae bacterium	2
bacteria-11646	lacticaseibacillus	2
bacteria-2948	lacticaseibacillus rhamnosus	2
bacteria-10998	lactobacillus coryniformis	2
bacteria-12067	lactobacillus kefiri	2
bacteria-4554	lactobacillus mucosae	2
bacteria-9184	lactobacillus pentosus	2
bacteria-331	lactobacillus rossiae	2
bacteria-1932	lactobacillus taiwanensis	2
bacteria-6650	lactococcus garvieae	2
