Lista	Valor	Valida		Lista 2	Valor	Valida	Raras		Lista 3	Valor	Valida
Gracilimonas tropica	LISTA 1			lachnospiraceae bacterium	Lista 2	No esta en lista			simian immunodeficiency	lista 3	No esta en lista
Gramella echinicola	LISTA 1			lacticaseibacillus	Lista 2	No esta en lista			simian sarcoma	lista 3	No esta en lista
Gramella flava	LISTA 1			lacticaseibacillus rhamnosus	Lista 2	No esta en lista			simian sarcoma-associated	lista 3	No esta en lista
Gramella forsetii	LISTA 1			lactobacillaceae	Lista 2	No esta en lista			simian t-cell lymphotropic	lista 3	No esta en lista
Gramella portivictoriae	LISTA 1			lactobacillus	Lista 2	No esta en lista			sindbis	lista 3	No esta en lista
Granulibacter bethesdensis	LISTA 1			lactobacillus acidophilus	Lista 2	LISTA 1			siphoviridae	lista 3	No esta en lista
Granulicatella adiacens	LISTA 1			lactobacillus alimentarius	Lista 2	No esta en lista			siphovirus contig89	lista 3	No esta en lista
Granulicatella elegans	LISTA 1			lactobacillus animalis	Lista 2	No esta en lista			small anellovirus	lista 3	No esta en lista
Granulicatella para-adiacens	LISTA 1			lactobacillus brevis	Lista 2	No esta en lista			small round structured	lista 3	No esta en lista
Granulicella mallensis	LISTA 1			lactobacillus casei	Lista 2	No esta en lista			smith	lista 3	No esta en lista
Granulicella tundricola	LISTA 1			lactobacillus coryniformis	Lista 2	No esta en lista			snow mountain	lista 3	No esta en lista
Granulicoccus phenolivorans	LISTA 1			lactobacillus crispatus	Lista 2	LISTA 1			snyder-theilen feline sarcoma	lista 3	No esta en lista
Grimontia hollisae	LISTA 1			lactobacillus curvatus	Lista 2	No esta en lista			soil-borne	lista 3	No esta en lista
Gryllotalpicola ginsengisoli	LISTA 1			lactobacillus delbrueckii	Lista 2	LISTA 1			southampton	lista 3	No esta en lista
Guama orthobunyavirus	LISTA 1			lactobacillus fermentum	Lista 2	No esta en lista			soybean cyst nematode	lista 3	No esta en lista
Guar moasic virus	LISTA 1			lactobacillus gasseri	Lista 2	LISTA 1			spinach curly top arizona	lista 3	No esta en lista
Guaroa orthobunyavirus	LISTA 1			lactobacillus harbinensis	Lista 2	No esta en lista			spleen necrosis	lista 3	No esta en lista
Gulosibacter bifidus	LISTA 1			lactobacillus helveticus	Lista 2	LISTA 1			squirrel monkey retrovirus	lista 3	No esta en lista
Gulosibacter faecalis	LISTA 1			lactobacillus hilgardii	Lista 2	No esta en lista			squirrelpox	lista 3	No esta en lista
Gulosibacter molinativorax	LISTA 1			lactobacillus iners	Lista 2	LISTA 1			ssdna	lista 3	No esta en lista
Gynuella sunshinyii	LISTA 1			lactobacillus jensenii	Lista 2	LISTA 1			st. louis encephalitis	lista 3	No esta en lista
Gyrovirus fulgla1	LISTA 1			lactobacillus johnsonii	Lista 2	LISTA 1			staphylococcus	lista 3	No esta en lista
Gyrovirus galga1	LISTA 1			lactobacillus kefiri	Lista 2	No esta en lista			staphylococcus xylosus	lista 3	No esta en lista
Gyrovirus galga2	LISTA 1			lactobacillus mucosae	Lista 2	No esta en lista			stealth	lista 3	No esta en lista
Gyrovirus homsa1	LISTA 1			lactobacillus murinus	Lista 2	No esta en lista			stickleback	lista 3	No esta en lista
Gyrovirus homsa2	LISTA 1			lactobacillus paracasei	Lista 2	No esta en lista			stl polyomavirus	lista 3	No esta en lista
Gyrovirus homsa3	LISTA 1			lactobacillus paraplantarum	Lista 2	No esta en lista			strawberry	lista 3	No esta en lista
Gyrovirus homsa4	LISTA 1			lactobacillus pentosus	Lista 2	No esta en lista			streptococcus	lista 3	No esta en lista
Gyrovirus hydho1	LISTA 1			lactobacillus plantarum	Lista 2	No esta en lista			streptococcus pyogenes	lista 3	No esta en lista
Gyrovirus myferr1	LISTA 1			lactobacillus reuteri	Lista 2	No esta en lista			streptomyces	lista 3	No esta en lista
Haliangium ochraceum	LISTA 1			lactobacillus rhamnosus	Lista 2	No esta en lista			sulfolobus	lista 3	No esta en lista
Halogeometricum borinquense	LISTA 1			lactobacillus rossiae	Lista 2	No esta en lista			sunshine	lista 3	No esta en lista
Halogeometricum pallidum	LISTA 1			lactobacillus ruminis	Lista 2	No esta en lista			superantigen	lista 3	No esta en lista
Haloglycomyces albus	LISTA 1			lactobacillus salivarius	Lista 2	No esta en lista			sweet potato	lista 3	No esta en lista
Halogranum salarium	LISTA 1			lactobacillus satsumensis	Lista 2	No esta en lista			swinepox	lista 3	No esta en lista
Halopiger xanaduensis	LISTA 1			lactobacillus taiwanensis	Lista 2	LISTA 1			synechococcus	lista 3	No esta en lista
Halostagnicola larsenii	LISTA 1			lactobacillus vaginalis	Lista 2	No esta en lista			tacaribe	lista 3	No esta en lista
Haloterrigena jeotgali	LISTA 1			lactobacillus zeae	Lista 2	No esta en lista			tanapox	lista 3	No esta en lista
Haloterrigena limicola	LISTA 1			lactococcus	Lista 2	No esta en lista			thika	lista 3	No esta en lista
Haloterrigena salina	LISTA 1			lactococcus garvieae	Lista 2	No esta en lista			tick-borne	lista 3	No esta en lista
Haloterrigena thermotolerans	LISTA 1			lactococcus lactis	Lista 2	No esta en lista			tick-borne encephalitis	lista 3	No esta en lista
Haloterrigena turkmenica	LISTA 1			lactonifactor	Lista 2	No esta en lista			tipula iridescent	lista 3	No esta en lista
Hapalosiphon arboreus	LISTA 1			lactonifactor longoviformis	Lista 2	No esta en lista			tobacco mosaic	lista 3	No esta en lista
Hapalosiphon baronii	LISTA 1			lautropia	Lista 2	No esta en lista			tomato bushy stunt	lista 3	No esta en lista
Hapalosiphon delicatulus	LISTA 1			lautropia mirabilis	Lista 2	No esta en lista			torque teno	lista 3	No esta en lista
Hapalosiphon hibernicus	LISTA 1			lawsonia	Lista 2	No esta en lista			torque teno midi	lista 3	No esta en lista
Hapalosiphon intricatus	LISTA 1			lawsonia intracellularis	Lista 2	No esta en lista			torque teno mini	lista 3	No esta en lista
Hapalosiphon stuhlmannii	LISTA 1			leclercia	Lista 2	No esta en lista			totivirus	lista 3	No esta en lista
Hapalosiphon welwitschii	LISTA 1			leclercia adecarboxylata	Lista 2	No esta en lista			transmembrane	lista 3	No esta en lista
Hardy-Zuckerman feline sarcoma virus	LISTA 1			legionella	Lista 2	No esta en lista			trichodysplasia spinulosa-associated polyomavirus	lista 3	No esta en lista
Helicobacter acinonychis	LISTA 1			legionella pneumophila	Lista 2	LISTA 1			trichomonas vaginalis	lista 3	No esta en lista
Helicobacter bilis	LISTA 1			lelliottia	Lista 2	No esta en lista			trifolium	lista 3	No esta en lista
Helicobacter bizzozeronii	LISTA 1			lelliottia amnigena	Lista 2	No esta en lista			trifolium pratense	lista 3	No esta en lista
Helicobacter canadensis	LISTA 1			lentibacillus	Lista 2	No esta en lista			tt	lista 3	No esta en lista
Helicobacter canis	LISTA 1			lentisphaerae	Lista 2	No esta en lista			tulip	lista 3	No esta en lista
Helicobacter cetorum	LISTA 1			lentzea	Lista 2	No esta en lista			tunis	lista 3	No esta en lista
Helicobacter cinaedi	LISTA 1			lentzea violacea	Lista 2	No esta en lista			turtle herpesvirus	lista 3	No esta en lista
Helicobacter felis	LISTA 1			leptospira	Lista 2	No esta en lista			tusavirus	lista 3	No esta en lista
Helicobacter fennelliae	LISTA 1			leptospira interrogans	Lista 2	No esta en lista			umea	lista 3	No esta en lista
Helicobacter heilmannii	LISTA 1			leptothrix	Lista 2	No esta en lista			unidentified	lista 3	No esta en lista
Helicobacter hepaticus	LISTA 1			leptotrichia	Lista 2	No esta en lista			usutu	lista 3	No esta en lista
Helicobacter macacae	LISTA 1			leptotrichia wadei	Lista 2	No esta en lista			uukuniemi	lista 3	No esta en lista
Helicobacter mustelae	LISTA 1			leuconostoc	Lista 2	No esta en lista			vaccinia	lista 3	No esta en lista
Helicobacter pametensis	LISTA 1			leuconostoc lactis	Lista 2	No esta en lista			varicella-zoster	lista 3	No esta en lista
Helicobacter pullorum	LISTA 1			leuconostoc mesenteroides	Lista 2	No esta en lista			variola	lista 3	No esta en lista
Helicobacter pylori	LISTA 1			leuconostocaceae	Lista 2	No esta en lista			vellore	lista 3	No esta en lista
Helicobacter rodentium	LISTA 1			limnobacter	Lista 2	No esta en lista			venezuelan equine encephalitis	lista 3	No esta en lista
Helicobacter suis	LISTA 1			limnothrix	Lista 2	No esta en lista			vera	lista 3	No esta en lista
Helicobacter winghamensis	LISTA 1			limosilactobacillus	Lista 2	No esta en lista			vesicular stomatitis	lista 3	No esta en lista
Hollyhock leaf crumple virus	LISTA 1			limosilactobacillus reuteri	Lista 2	No esta en lista			vibrio	lista 3	No esta en lista
Hollyhock yellow vein mosaic virus	LISTA 1			listeria	Lista 2	No esta en lista			vibrio cholerae	lista 3	No esta en lista
Holophaga foetida	LISTA 1			listeria innocua	Lista 2	LISTA 1			vibrio parahaemolyticus	lista 3	No esta en lista
Honeysuckle yellow vein mosaic virus	LISTA 1			listeria monocytogenes	Lista 2	LISTA 1			vibrio phage jsf5	lista 3	No esta en lista
Honeysuckle yellow vein virus	LISTA 1			listeria welshimeri	Lista 2	LISTA 1			viola	lista 3	No esta en lista
Human betaherpesvirus 5	LISTA 1			lotus	Lista 2	No esta en lista			viroid	lista 3	No esta en lista
Human gammaherpesvirus 4	LISTA 1			luteococcus	Lista 2	No esta en lista			visna	lista 3	No esta en lista
Hungatella hathewayi	LISTA 1			lyngbya	Lista 2	No esta en lista			walleye dermal sarcoma	lista 3	No esta en lista
Hydrocarboniphaga effusa	LISTA 1			lyngbya majuscula	Lista 2	LISTA 1			watson	lista 3	No esta en lista
Hydrogenobacter thermophilus	LISTA 1			lysinibacillus	Lista 2	No esta en lista			west nile	lista 3	No esta en lista
Hydrogenophaga flava	LISTA 1			lysinibacillus fusiformis	Lista 2	No esta en lista			western equine encephalitis	lista 3	No esta en lista
Hydrogenophaga intermedia	LISTA 1			lysinibacillus sphaericus	Lista 2	No esta en lista			whistler	lista 3	No esta en lista
Hydrogenophaga palleronii	LISTA 1			lysobacter	Lista 2	No esta en lista			white sucker hepatitis b	lista 3	No esta en lista
Hydrogenophaga pseudoflava	LISTA 1			macadamia	Lista 2	No esta en lista			wolbachia	lista 3	No esta en lista
Hydrogenophaga taeniospiralis	LISTA 1			mag	Lista 2	No esta en lista			woodchuck hepatitis	lista 3	No esta en lista
Hydrogenovibrio crunogenus	LISTA 1			magnetococcus	Lista 2	No esta en lista			woolly monkey sarcoma	lista 3	No esta en lista
Hydrogenovibrio halophilus	LISTA 1			magnetococcus marinus	Lista 2	LISTA 1			wu polyomavirus	lista 3	No esta en lista
Hydrogenovibrio kuenenii	LISTA 1			magnetospirillum	Lista 2	No esta en lista			xanthomonas	lista 3	No esta en lista
Hydrogenovibrio marinus	LISTA 1			magnetospirillum gryphiswaldense	Lista 2	LISTA 1			xenotropic mulv-related	lista 3	No esta en lista
Iaco orthobunyavirus	LISTA 1			malaysian	Lista 2	No esta en lista			xenotropic murine leukemia	lista 3	No esta en lista
Ignatzschineria larvae	LISTA 1			manihot	Lista 2	No esta en lista			xmrv	lista 3	No esta en lista
Ignavibacterium album	LISTA 1			mannheimia	Lista 2	No esta en lista			yacon	lista 3	No esta en lista
Ignicoccus hospitalis	LISTA 1			mannheimia haemolytica	Lista 2	No esta en lista			yam	lista 3	No esta en lista
Ignicoccus islandicus	LISTA 1			marigold	Lista 2	No esta en lista			yellow fever	lista 3	No esta en lista
Ignicoccus pacificus	LISTA 1			marine bacterium	Lista 2	No esta en lista			zika	lista 3	No esta en lista
Ilesha orthobunyavirus	LISTA 1			marinobacter	Lista 2	No esta en lista					
Indian cassava mosaic virus	LISTA 1			marinobacterium	Lista 2	No esta en lista					
Infectious spleen and kidney necrosis virus	LISTA 1			marmoricola	Lista 2	No esta en lista					
Ingwavuma orthobunyavirus	LISTA 1			massilia	Lista 2	No esta en lista					
Intrasporangium calvum	LISTA 1			medicago	Lista 2	No esta en lista					
Intrasporangium chromatireducens	LISTA 1			medicago sativa	Lista 2	No esta en lista					
Intrasporangium oryzae	LISTA 1			megamonas	Lista 2	No esta en lista					
Jamestown Canyon orthobunyavirus	LISTA 1			megamonas funiformis	Lista 2	LISTA 1					
Janibacter anophelis	LISTA 1			megasphaera	Lista 2	No esta en lista					
Janibacter corallicola	LISTA 1			megasphaera micronuciformis	Lista 2	LISTA 1					
Janibacter hoylei	LISTA 1			meiothermus	Lista 2	No esta en lista					
Janibacter limosus	LISTA 1			mesoplasma	Lista 2	No esta en lista					
Janibacter melonis	LISTA 1			mesorhizobium	Lista 2	No esta en lista					
Janibacter terrae	LISTA 1			methylobacterium	Lista 2	No esta en lista					
Jatobal orthobunyavirus	LISTA 1			methylobacterium mesophilicum	Lista 2	LISTA 1					
Jatropha leaf crumple virus	LISTA 1			methylobacterium radiotolerans	Lista 2	LISTA 1					
Jatropha leaf yellow mosaic virus	LISTA 1			methylocaldum	Lista 2	No esta en lista					
Jatropha mosaic India virus	LISTA 1			methylococcaceae	Lista 2	No esta en lista					
Jatropha yellow mosaic India virus	LISTA 1			methylophilaceae	Lista 2	No esta en lista					
Jeotgalicoccus marinus	LISTA 1			methylotenera	Lista 2	No esta en lista					
Jeotgalicoccus psychrophilus	LISTA 1			microbacterium	Lista 2	No esta en lista					
Jiangella gansuensis	LISTA 1			microbacterium barkeri	Lista 2	No esta en lista					
Jonquetella anthropi	LISTA 1			microbacterium oxydans	Lista 2	No esta en lista					
Kaeng Khoi orthobunyavirus	LISTA 1			micrococcaceae	Lista 2	No esta en lista					
Kairi orthobunyavirus	LISTA 1			micrococcus	Lista 2	No esta en lista					
Kallipyga massiliensis	LISTA 1			micrococcus flavus	Lista 2	No esta en lista					
Kangiella aquimarina	LISTA 1			micrococcus luteus	Lista 2	No esta en lista					
Kangiella koreensis	LISTA 1			microcystis	Lista 2	No esta en lista					
Kenaf leaf curl virus	LISTA 1			micromonospora	Lista 2	No esta en lista					
Ketogulonicigenium vulgare	LISTA 1			micromonospora chalcea	Lista 2	No esta en lista					
Keystone orthobunyavirus	LISTA 1			micromonospora echinospora	Lista 2	No esta en lista					
Kibdelosporangium aridum	LISTA 1			microvirga	Lista 2	No esta en lista					
Kingella denitrificans	LISTA 1			microvirgula	Lista 2	No esta en lista					
Kingella kingae	LISTA 1			microvirgula aerodenitrificans	Lista 2	LISTA 1					
Kingella oralis	LISTA 1			mitsuokella	Lista 2	No esta en lista					
Kingella potus	LISTA 1			mitsuokella multacida	Lista 2	No esta en lista					
Komagataeibacter europaeus	LISTA 1			mobiluncus	Lista 2	No esta en lista					
Komagataeibacter hansenii	LISTA 1			mobiluncus curtisii	Lista 2	No esta en lista					
Komagataeibacter intermedius	LISTA 1			mogibacterium	Lista 2	No esta en lista					
Komagataeibacter kakiaceti	LISTA 1			moraxella	Lista 2	No esta en lista					
Komagataeibacter medellinensis	LISTA 1			moraxella canis	Lista 2	No esta en lista					
Komagataeibacter oboediens	LISTA 1			moraxella catarrhalis	Lista 2	No esta en lista					
Komagataeibacter rhaeticus	LISTA 1			moraxella nonliquefaciens	Lista 2	No esta en lista					
Komagataeibacter sucrofermentans	LISTA 1			moraxella osloensis	Lista 2	No esta en lista					
Komagataeibacter xylinus	LISTA 1			moraxellaceae	Lista 2	No esta en lista					
Koongol orthobunyavirus	LISTA 1			morganella	Lista 2	No esta en lista					
Kosmotoga arenicorallina	LISTA 1			morganella morganii	Lista 2	LISTA 1					
Kosmotoga olearia	LISTA 1			moritella	Lista 2	No esta en lista					
La Crosse orthobunyavirus	LISTA 1			motilibacter	Lista 2	No esta en lista					
Lactobacillus acetotolerans	LISTA 1			mulberry	Lista 2	No esta en lista					
Lactobacillus acidophilus	LISTA 1			murdochiella	Lista 2	No esta en lista					
Lactobacillus amylolyticus	LISTA 1			muribaculaceae	Lista 2	No esta en lista					
Lactobacillus amylovorus	LISTA 1			muribaculum	Lista 2	No esta en lista					
Lactobacillus catenefornis	LISTA 1			muribaculum intestinale	Lista 2	No esta en lista					
Lactobacillus crispatus	LISTA 1			musa	Lista 2	No esta en lista					
Lactobacillus delbrueckii	LISTA 1			mutant escherichia	Lista 2	No esta en lista					
Lactobacillus equicursoris	LISTA 1			mutant salmonella	Lista 2	No esta en lista					
Lactobacillus gallinarum	LISTA 1			mutant streptomyces	Lista 2	No esta en lista					
Lactobacillus gasseri	LISTA 1			mycobacterium	Lista 2	No esta en lista					
Lactobacillus gigeriorum	LISTA 1			mycobacterium abscessus	Lista 2	No esta en lista					
Lactobacillus hamsteri	LISTA 1			mycobacterium avium	Lista 2	LISTA 1					
Lactobacillus helveticus	LISTA 1			mycobacterium fortuitum	Lista 2	No esta en lista					
Lactobacillus hominis	LISTA 1			mycobacterium gordonae	Lista 2	No esta en lista					
Lactobacillus iners	LISTA 1			mycobacterium intracellulare	Lista 2	LISTA 1					
Lactobacillus intestinalis	LISTA 1			mycobacterium kansasii	Lista 2	LISTA 1					
Lactobacillus jensenii	LISTA 1			mycobacterium marinum	Lista 2	LISTA 1					
Lactobacillus johnsonii	LISTA 1			mycobacterium paragordonae	Lista 2	No esta en lista					
Lactobacillus kalixensis	LISTA 1			mycobacterium simiae	Lista 2	LISTA 1					
Lactobacillus kefiranofaciens	LISTA 1			mycobacterium tuberculosis	Lista 2	LISTA 1					
Lactobacillus kitasatonis	LISTA 1			mycoplana	Lista 2	No esta en lista					
Lactobacillus paragasseri	LISTA 1			mycoplana ramosa	Lista 2	No esta en lista					
Lactobacillus pasteurii	LISTA 1			mycoplasma	Lista 2	No esta en lista					
Lactobacillus psittaci	LISTA 1			mycoplasma gallisepticum	Lista 2	No esta en lista					
Lactobacillus taiwanensis	LISTA 1			mycoplasma genitalium	Lista 2	No esta en lista					
Lactobacillus ultunensis	LISTA 1			mycoplasma haemocanis	Lista 2	No esta en lista					
Leadbetterella byssophila	LISTA 1			mycoplasma hominis	Lista 2	No esta en lista					
Leanyer orthobunyavirus	LISTA 1			mycoplasma hyorhinis	Lista 2	No esta en lista					
Legionella anisa	LISTA 1			mycoplasma ovipneumoniae	Lista 2	No esta en lista					
Legionella bozemanae	LISTA 1			mycoplasma pneumoniae	Lista 2	No esta en lista					
Legionella cherrii	LISTA 1			myxococcus	Lista 2	No esta en lista					
Legionella drancourtii	LISTA 1			myxococcus fulvus	Lista 2	No esta en lista					
Legionella drozanskii	LISTA 1			nannocystis	Lista 2	No esta en lista					
Legionella fairfieldensis	LISTA 1			neisseria	Lista 2	No esta en lista					
Legionella fallonii	LISTA 1			neisseria bacilliformis	Lista 2	LISTA 1					
Legionella feeleii	LISTA 1			neisseria cinerea	Lista 2	LISTA 1					
Legionella geestiana	LISTA 1			neisseria flavescens	Lista 2	LISTA 1					
Legionella israelensis	LISTA 1			neisseria gonorrhoeae	Lista 2	LISTA 1					
Legionella jamestowniensis	LISTA 1			neisseria lactamica	Lista 2	LISTA 1					
Legionella lansingensis	LISTA 1			neisseria meningitidis	Lista 2	LISTA 1					
Legionella longbeachae	LISTA 1			neisseria mucosa	Lista 2	LISTA 1					
Legionella moravica	LISTA 1			neisseria sicca	Lista 2	LISTA 1					
Legionella oakridgensis	LISTA 1			neisseria subflava	Lista 2	LISTA 1					
Legionella pneumophila	LISTA 1			neisseriaceae	Lista 2	No esta en lista					
Legionella quinlivanii	LISTA 1			neisseriales	Lista 2	No esta en lista					
Legionella rowbothamii	LISTA 1			neorickettsia	Lista 2	No esta en lista					
Legionella sainthelensi	LISTA 1			nesterenkonia	Lista 2	No esta en lista					
Legionella shakespearei	LISTA 1			nicotiana	Lista 2	No esta en lista					
Legionella wadsworthii	LISTA 1			nitrobacter	Lista 2	No esta en lista					
Leisingera aquimarina	LISTA 1			nitrospirae	Lista 2	No esta en lista					
Leisingera caerulea	LISTA 1			nocardia	Lista 2	No esta en lista					
Leisingera daeponensis	LISTA 1			nocardia abscessus	Lista 2	No esta en lista					
Leisingera methylohalidivorans	LISTA 1			nocardia arthritidis	Lista 2	No esta en lista					
Leptolyngbya 'Albertano-Kovacik green'	LISTA 1			nocardia asiatica	Lista 2	No esta en lista					
Leptolyngbya africana	LISTA 1			nocardia asteroides	Lista 2	No esta en lista					
Leptolyngbya angustata	LISTA 1			nocardia brasiliensis	Lista 2	No esta en lista					
Leptolyngbya angustissima	LISTA 1			nocardia concava	Lista 2	No esta en lista					
Leptolyngbya appalachiana	LISTA 1			nocardia cyriacigeorgica	Lista 2	No esta en lista					
Leptolyngbya benthonica	LISTA 1			nocardia farcinica	Lista 2	No esta en lista					
Leptolyngbya borchgrevinkii	LISTA 1			nocardia nova	Lista 2	No esta en lista					
Leptolyngbya boryana	LISTA 1			nocardia otitidiscaviarum	Lista 2	No esta en lista					
Leptolyngbya breviarticulata	LISTA 1			nocardiaceae	Lista 2	No esta en lista					
Leptolyngbya carnea	LISTA 1			nocardioidaceae	Lista 2	No esta en lista					
Leptolyngbya cebennensis	LISTA 1			nocardioides	Lista 2	No esta en lista					
Leptolyngbya compacta	LISTA 1			nocardiopsis	Lista 2	No esta en lista					
Leptolyngbya copelandii	LISTA 1			nonomuraea	Lista 2	No esta en lista					
Leptolyngbya corticola	LISTA 1			nostoc	Lista 2	No esta en lista					
Leptolyngbya crispata	LISTA 1			nostoc commune	Lista 2	No esta en lista					
Leptolyngbya dangeardii	LISTA 1			noviherbaspirillum	Lista 2	No esta en lista					
Leptolyngbya ectocarpi	LISTA 1			novosphingobium	Lista 2	No esta en lista					
Leptolyngbya foveolarum	LISTA 1			oceanobacillus	Lista 2	No esta en lista					
Leptolyngbya fragilis	LISTA 1			oceanobacillus picturae	Lista 2	No esta en lista					
Leptolyngbya gelatinosa	LISTA 1			oceanobacillus profundus	Lista 2	No esta en lista					
Leptolyngbya geysericola	LISTA 1			ochrobactrum	Lista 2	No esta en lista					
Leptolyngbya halophila	LISTA 1			ochrobactrum anthropi	Lista 2	No esta en lista					
Leptolyngbya hendersonii	LISTA 1			ochrobactrum intermedium	Lista 2	No esta en lista					
Leptolyngbya henningsii	LISTA 1			ochrobactrum pituitosum	Lista 2	No esta en lista					
Leptolyngbya laminosa	LISTA 1			ocimum	Lista 2	No esta en lista					
Leptolyngbya lignicola	LISTA 1			odoribacter	Lista 2	No esta en lista					
Leptolyngbya margaretheana	LISTA 1			odoribacter splanchnicus	Lista 2	No esta en lista					
Leptolyngbya minuta	LISTA 1			oenococcus	Lista 2	No esta en lista					
Leptolyngbya mycoidea	LISTA 1			oenococcus oeni	Lista 2	No esta en lista					
Leptolyngbya norvegica	LISTA 1			oligella	Lista 2	No esta en lista					
Leptolyngbya nostocorum	LISTA 1			oligella ureolytica	Lista 2	LISTA 1					
Leptolyngbya ohadii	LISTA 1			oligella urethralis	Lista 2	LISTA 1					
Leptolyngbya orientalis	LISTA 1			olsenella	Lista 2	No esta en lista					
Leptolyngbya polysiphoniae	LISTA 1			olsenella scatoligenes	Lista 2	No esta en lista					
Leptolyngbya ramosa	LISTA 1			opuntia	Lista 2	No esta en lista					
Leptolyngbya rubra	LISTA 1			oribacterium	Lista 2	No esta en lista					
Leptolyngbya saxicola	LISTA 1			oribacterium asaccharolyticum	Lista 2	No esta en lista					
Leptolyngbya schmidlei	LISTA 1			orientia	Lista 2	No esta en lista					
Leptolyngbya scottii	LISTA 1			orientia tsutsugamushi	Lista 2	LISTA 1					
Leptolyngbya subtilis	LISTA 1			oscillatoria	Lista 2	No esta en lista					
Leptolyngbya subtilissima	LISTA 1			oscillibacter	Lista 2	No esta en lista					
Leptolyngbya subtruncata	LISTA 1			oxalobacter	Lista 2	No esta en lista					
Leptolyngbya tenerrima	LISTA 1			oxalobacter formigenes	Lista 2	No esta en lista					
Leptolyngbya tentaculiformis	LISTA 1			oxalobacteraceae	Lista 2	No esta en lista					
Leptolyngbya tenuis	LISTA 1			paenibacillaceae	Lista 2	No esta en lista					
Leptolyngbya thermalis	LISTA 1			paenibacillus	Lista 2	No esta en lista					
Leptolyngbya thermarum	LISTA 1			paenibacillus odorifer	Lista 2	No esta en lista					
Leptolyngbya thermobia	LISTA 1			paeniclostridium	Lista 2	No esta en lista					
Leptolyngbya valderiana	LISTA 1			paeniglutamicibacter	Lista 2	No esta en lista					
Listeria aquatica	LISTA 1			paludibacter	Lista 2	No esta en lista					
Listeria cornellensis	LISTA 1			paludibaculum	Lista 2	No esta en lista					
Listeria cossartiae	LISTA 1			pannonibacter	Lista 2	No esta en lista					
Listeria fleischmannii	LISTA 1			pannonibacter phragmitetus	Lista 2	No esta en lista					
Listeria floridensis	LISTA 1			pantoea	Lista 2	No esta en lista					
Listeria grandensis	LISTA 1			pantoea agglomerans	Lista 2	No esta en lista					
Listeria grayi	LISTA 1			pantoea ananatis	Lista 2	No esta en lista					
Listeria innocua	LISTA 1			pantoea calida	Lista 2	No esta en lista					
Listeria ivanovii	LISTA 1			parabacteroides	Lista 2	No esta en lista					
Listeria marthii	LISTA 1			parabacteroides distasonis	Lista 2	No esta en lista					
Listeria monocytogenes	LISTA 1			parabacteroides goldsteinii	Lista 2	No esta en lista					
Listeria riparia	LISTA 1			parabacteroides merdae	Lista 2	No esta en lista					
Listeria rocourtiae	LISTA 1			paraburkholderia	Lista 2	No esta en lista					
Listeria seeligeri	LISTA 1			paraburkholderia fungorum	Lista 2	No esta en lista					
Listeria weihenstephanensis	LISTA 1			paracoccus	Lista 2	No esta en lista					
Listeria welshimeri	LISTA 1			paracoccus denitrificans	Lista 2	No esta en lista					
Longispora albida	LISTA 1			paracoccus marcusii	Lista 2	No esta en lista					
Lumbo orthbunyavirus	LISTA 1			paracoccus yeei	Lista 2	No esta en lista					
Lyngbya aerugineo-coerulea	LISTA 1			parasutterella	Lista 2	No esta en lista					
Lyngbya aestuarii	LISTA 1			parcubacteria	Lista 2	No esta en lista					
Lyngbya arboricola	LISTA 1			parthenium	Lista 2	No esta en lista					
Lyngbya confervoides	LISTA 1			parvimonas	Lista 2	No esta en lista					
Lyngbya kuetzingiana	LISTA 1			parvimonas micra	Lista 2	LISTA 1					
Lyngbya kuetzingii	LISTA 1			pasteurella	Lista 2	No esta en lista					
Lyngbya lagerheimii	LISTA 1			pasteurella dagmatis	Lista 2	LISTA 1					
Lyngbya majuscula	LISTA 1			pasteurella multocida	Lista 2	LISTA 1					
Lyngbya martensiana	LISTA 1			pasteurellaceae	Lista 2	No esta en lista					
Lyngbya nigra	LISTA 1			patescibacteria	Lista 2	No esta en lista					
Lyngbya polychroa	LISTA 1			pediococcus	Lista 2	No esta en lista					
Lyngbya purpurea	LISTA 1			pediococcus acidilactici	Lista 2	No esta en lista					
Lyngbya semiplena	LISTA 1			pediococcus pentosaceus	Lista 2	No esta en lista					
Lyngbya taylorii	LISTA 1			pedobacter	Lista 2	No esta en lista					
MPoko orthobunyavirus	LISTA 1			pelomonas	Lista 2	No esta en lista					
Macaca mulatta type C retrovirus	LISTA 1			peptococcaceae	Lista 2	No esta en lista					
Macacine betaherpesvirus 3	LISTA 1			peptoniphilaceae	Lista 2	No esta en lista					
Macacine betaherpesvirus 8	LISTA 1			peptoniphilus	Lista 2	No esta en lista					
Macacine gammaherpesvirus 10	LISTA 1			peptoniphilus harei	Lista 2	No esta en lista					
Macaua orthobunyavirus	LISTA 1			peptostreptococcaceae	Lista 2	No esta en lista					
Macroptilium golden mosaic virus	LISTA 1			peptostreptococcus	Lista 2	No esta en lista					
Macroptilium mosaic Puerto Rico virus	LISTA 1			peptostreptococcus anaerobius	Lista 2	LISTA 1					
Macroptilium yellow mosaic virus	LISTA 1			peptostreptococcus stomatis	Lista 2	LISTA 1					
Madrid orthobunyavirus	LISTA 1			perilla	Lista 2	No esta en lista					
Mageeibacillus indolicus	LISTA 1			phaeobacter	Lista 2	No esta en lista					
Magnetococcus marinus	LISTA 1			phascolarctobacterium	Lista 2	No esta en lista					
Magnetospirillum aberrantis	LISTA 1			phascolarctobacterium faecium	Lista 2	No esta en lista					
