Lista	Valor	Valida		Lista 2	Valor	Valida	Raras		Lista 3	Valor	Valida
Bordetella trematum	LISTA 1			blautia obeum	Lista 2	No esta en lista			enterococcus	lista 3	No esta en lista
Bozo orthobunyavirus	LISTA 1			blautia producta	Lista 2	No esta en lista			enterovirus	lista 3	No esta en lista
Brackiella oedipodis	LISTA 1			bordetella	Lista 2	No esta en lista			enterovirus 71	lista 3	No esta en lista
Brazoran orthobunyavirus	LISTA 1			bordetella bronchiseptica	Lista 2	LISTA 1			enterovirus a	lista 3	No esta en lista
Bruconha orthobunyavirus	LISTA 1			bordetella hinzii	Lista 2	LISTA 1			enterovirus a71	lista 3	No esta en lista
Buffalo Creek orthobunyavirus	LISTA 1			bordetella pertussis	Lista 2	LISTA 1			enterovirus b	lista 3	No esta en lista
Bunyamwera orthobunyavirus	LISTA 1			bordetella trematum	Lista 2	LISTA 1			enterovirus d68	lista 3	No esta en lista
Bushbush orthobunyavirus	LISTA 1			borrelia	Lista 2	No esta en lista			envelope	lista 3	No esta en lista
Buttonwillow orthobunyavirus	LISTA 1			borrelia burgdorferi	Lista 2	No esta en lista			enzootic nasal tumour	lista 3	No esta en lista
Bwamba orthobunyavirus	LISTA 1			borrelia miyamotoi	Lista 2	No esta en lista			epstein barr	lista 3	No esta en lista
Cache Valley orthobunyavirus	LISTA 1			bosea	Lista 2	No esta en lista			epstein-barr	lista 3	No esta en lista
Cachoeira Porteira orthobunyavirus	LISTA 1			brachyspira	Lista 2	No esta en lista			equine arteritis	lista 3	No esta en lista
Caldivirga maquilingensis	LISTA 1			bradyrhizobium	Lista 2	No esta en lista			equine herpesvirus	lista 3	No esta en lista
California encephalitis orthobunyavirus	LISTA 1			bradyrhizobium japonicum	Lista 2	No esta en lista			equine papillomavirus	lista 3	No esta en lista
Campylobacter avium	LISTA 1			brassica	Lista 2	No esta en lista			equus caballus papillomavirus	lista 3	No esta en lista
