internalId	Name	Mentions
virus-37198	streptococcus pyogenes	41
virus-61227	streptomyces	215
virus-69793	sulfolobus	1
virus-10148	sunshine	1
virus-19515	superantigen	10
virus-21498	sweet potato	1
virus-61753	swinepox	1
virus-17578	synechococcus	2
virus-45778	tacaribe	2
virus-52957	tanapox	3
virus-33550	thika	2
virus-68679	tick-borne	20
virus-37698	tick-borne encephalitis	14
virus-72817	tipula iridescent	1
virus-26632	tobacco mosaic	7
virus-34005	tomato bushy stunt	2
virus-68607	torque teno	17
virus-68951	torque teno midi	1
virus-29404	torque teno mini	4
virus-14123	totivirus	1
virus-63250	transmembrane	104
virus-12104	trichodysplasia spinulosa-associated polyomavirus	4
virus-54807	trichomonas vaginalis	33
virus-29483	trifolium	1
virus-27077	trifolium pratense	1
virus-15101	tt	32
virus-61939	tulip	1
virus-60012	tunis	2
virus-47292	turtle herpesvirus	2
virus-10993	tusavirus	1
virus-2520	umea	1
virus-19783	unidentified	66
virus-2668	usutu	1
virus-21235	uukuniemi	1
virus-8738	vaccinia	253
virus-22857	varicella-zoster	19
virus-61734	variola	1
virus-52328	vellore	1
virus-2274	venezuelan equine encephalitis	3
virus-207	vera	9
virus-71803	vesicular stomatitis	140
virus-62451	vibrio	53
virus-42919	vibrio cholerae	20
virus-11245	vibrio parahaemolyticus	4
virus-26130	vibrio phage jsf5	1
virus-669	viola	1
virus-6995	viroid	1
virus-13424	visna	7
virus-26824	walleye dermal sarcoma	2
virus-62247	watson	2
virus-52027	west nile	9
virus-18501	western equine encephalitis	2
virus-9438	whistler	1
virus-19523	white sucker hepatitis b	1
virus-47552	wolbachia	6
virus-27406	woodchuck hepatitis	10
virus-2081	woolly monkey sarcoma	7
virus-68596	wu polyomavirus	3
virus-2611	xanthomonas	10
virus-43447	xenotropic mulv-related	1
virus-22064	xenotropic murine leukemia	28
virus-63699	xmrv	44
virus-43246	yacon	1
virus-6566	yam	1
virus-51479	yellow fever	13
virus-45941	zika	14
